index:ID,name,character,function,rule,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30001,石楼大枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30002,灵宝大枣,灵宝大枣又名屯屯枣、圆枣。原产山西南部，现分布于黄河沿岸 的山西平陆县、芮城县，河南灵宝等地。,果肉厚，绿白色，肉质致密，味甜略酸，汁中多，品质中上。9月中下旬成熟，较丰产，耐贮运，抗裂果。适应性强，抗逆性较好。,果实大，扁圆形，纵径3.25厘米，横径3.34厘米，单果平均重18?20克，最大果重30克以上，大小较均匀。果皮较厚，深红色，果面有不明显的五棱突起，并有不规则的果斑。果顶微凹，梗洼广浅。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30003,屯屯枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30004,无核小枣,无核小枣又名空心枣、虚心枣。分布于山东乐陵县、 庆云，河北沧县、泊头与献县等地。,果肉细腻，较松软，汁液少，味甜，无杂味，品质上等。抗盐 碱、抗旱涝能力强。,"果实小，圆柱形，侧面稍扁，中部稍细，单果平均重4.65克, 最大单果重8?10克，果皮薄，鲜红色，富有韧性，果顶微凹。",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30005,阜平大枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30006,柳林木枣,柳林木枣又名中阳木枣，分布于晋西黄河沿岸的柳林、临县、石楼一带,"果肉厚，汁液少，味甜, 油份大，抗旱耐涝，适应性强",果实中等大，圆柱形，纵径3.7厘米，横径2.4厘米。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30007,襄汾木枣,襄汾木枣分布于山西襄汾县城关、城郭、贾罕等乡。,果皮厚，深红色。果肉中厚，肉质致密，味甜汁少，品质中等，适宜制干，适应性和抗逆性强，产量中等且稳定，釆前落果少，抗裂果。,果实中大，短柱形，纵径4.04厘米，横径2.93厘米，平均单果重15克。果顶突凸，柱头大，梗洼窄而深。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30008,宜滩枣,官滩枣分布于山西襄汾县官滩村，为当地主栽品种。,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30009,长木枣,长木枣分布于山东商河、乐陵、滕县等地。,果肉厚，质地密，汁液少，适宜制干,果形中大，长椭圆形，整齐均匀，单果平均重9?12克。果皮较厚，鲜红色，有紫色斑片。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30010,纹枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30011,圆铃枣,圆铃枣又名圆红枣、花红枣、紫铃、铃枣等o盛产于山东聊城、德州、昌潍、泰安、济宁、荷泽等地，河北南部也有分布。,果肉厚，绿白色，质地紧密，较粗，汁液少，味甜。对土壤适应性强，较耐盐碱和瘠薄，在黏土、沙土、沙砾土上都能较好生长。,果实中等大，近圆形或平定锥形，平均单果重11克左右，最大果重25克，大小不均匀，有圆果圆铃，长果圆铃、狮头铃等。果面不平整，狮头铃果面有数条不整齐纵沟。果皮厚，坚韧，紫红色。 ,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30012,鸡心枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30013,郎枣,郎枣分布于山西太谷、祁县一带，是当地主栽品种。,"果肉厚，肉质致密，味甜略酸，汁较多, 品质中上，适宜制干。适应性强，抗旱耐涝。",果实中大，柱形，纵径3.9厘米，横径3.01厘米，单果平均重 14.9克，大小较均匀。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30014,婆枣,婆枣又名串杆、阜平大枣、行唐大枣等。分布于河北太行山中段的阜平、阳曲、唐县和行唐等地。,果肉厚，乳白色，粗松少汁，味淡甜。对环境适应性很强，耐旱、耐瘠、耐盐碱，花期能适应较低的气温和空气湿度。,"果实中大，长圆形或卵圆形，果顶一端较果柄一端显著粗大, 侧面稍扁，大小均匀，平均单果重H.5-13克。果面平滑，果皮较薄，深红色，白色果点明显。",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30015,临泽大枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30016,绥德大枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30017,柳灌枣,柳罐枣分布于山西稷山县南阳村。,果肉厚，绿白色，肉质硬，味较甜，汁液少，品质中上，适宜制干。制干率高，抗裂果。,果实大，长卵形，纵径4.34厘米，横径3. 31厘米，侧径2.95 厘米，单果重19克。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30018,婆婆枣,婆婆枣分布于山西运城市西曲马、乔阳村一带。,果肉厚，浅绿色，肉质紧密，味甜汁中，品质中等。适应性强，抗枣疯病能力较强。,"果实中大，长圆形或葫芦形，纵径3.3厘米，横径2.8厘米, 平均单果重14. 3克，大小较均匀。果皮厚，深红色，果顶平，柱头遗存。",品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30019,大荔圆枣,大荔圆枣产于陕西大荔县沙苑一带，为当地主栽品种。,晒干后果肉富有弹性，宜于远运，为一优良制干品种。,果实重约15克，果肉厚，核小，质地细脆，味甜，品质上。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30020,官滩枣,官滩枣分布于山西襄汾县官滩村，为当地主栽品种,"果肉厚，绿白色, 肉质细而致密，味甜，汁少，适应性、抗枣疯病力较强。",果实中大，长圆形，纵径3.9厘米，横径2.5厘米，单果重11 克，大小较均匀。果皮厚，深红色，果面欠光滑。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30021,梨枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30022,冬枣,冬枣又名冻枣、苹果枣，是目前主要发展的鲜食品种之一。主要产区在河北省的黄骅、献县、沧县，山东省的沾化、聊城等地。,"果面平整光滑，成熟前阳面常有红晕，外观美观，赭红光亮， 故又称苹果枣。果柄较长，果皮薄而脆，不裂果。果点小，圆形， 不明显。果肉厚，松脆，绿白色，细嫩多汁，甜味浓，略酸。可溶 性固形物含量，白熟期为21%,着色后为34%?38%,完熟前为 40%?42%。可食率为96.9%,鲜食品质上乘。果核小生，多数具 饱满种子。枣树适应性较强，较耐盐碱。",果实中等大，近圆形，平均单果重12.8克，最大单果重23.2 克。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30023,不落酥,不落酥原产于山西省平遥县赵家村一带。,"果肉厚, 绿白色，肉质酥脆，味甜，汁中多，品质上等，适宜鲜食。鲜枣含可溶性固形物31.8%,酸0. 42%,维生素C256. 0毫克/100克。可食率为96.5%,核小，无种仁。",果实大，扁柱形，平均纵径4.45厘米，横径3.22厘米，侧径45厘米，平均单果重20克，大小不均匀。果皮中厚，紫红色，果面不平滑。果梗细长，梗洼窄深，果顶微凹，柱头宿存。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30024,铃铃枣,铃铃枣分布于山西太谷、清徐、交城和太原南郊等地，核中大，卵圆形，核纹较浅，含仁率高，种仁较饱满，手握干枣摇动，可听见种仁响声，故名铃铃枣。,果皮薄，红色，果面光滑，梗洼中广，较浅。果顶平，柱头遗存。果肉较厚，白色，肉质细脆，味甜多汁，品质上，适宜鲜食， 脆熟期9月中旬。树势较强，树体中大，中心干强，树姿直立，枝条中密，树冠圆锥形。结果较早，产量中等而稳定，抗旱、抗碱力强，抗枣疯病中等，成熟较早。,果小，圆形，纵径2.3厘米，横径2.33厘米，单果重5克左右。,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30025,苹果枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30026,蜂蜜枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30027,辣椒枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30028,彬县酥枣,,,,品种选择
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R30029,大瓜枣,有突出的早实丰产性状和较好的鲜食品质，是目前稀有的综合性状较好的大果型优良鲜食品种。,"。果皮浅红褐色，光亮鲜艳。果肉致密细脆，汁液中多，含可溶性固形物32%?34%,甜味浓，可食率97.5%,品质上等。果实9月中、上旬成熟，成熟期遇雨极少裂果。",果实特大，扁圆形或近球形，大小、形状整齐，平均单果重25. 7克，最大单果重达40克以上。,品种选择
