index:ID,name,character,function,rule,:LABEL
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20001,水平根,发达，生长力强，分布广，常超过树冠3-6倍，所以有“行根”和“串走根”之称。水平根分布虽远，但多集中于近树干的1-3米处，距树干越远水平根越少，一般分布在15-30厘米深的表土层中。,扩大根系范围和发生根蘖苗。,,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20002,垂直根,主要由水平根分枝向下延伸而形成，可深达3-4米，其延伸深度小于树体高度，通常为树高的1/2。,固定树体和吸收土壤深层的水分和养分。,深翻土、加厚土层，提高土壤肥力。,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20003,侧根,主要由水平根的分根形成，延伸能力较弱但分枝能力较强。侧根上和末端着生许多须根。,吸收养分和水分，也能抽生根蘖，可用于分株育苗。,除育苗外，应及时去掉根蘖。,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20004,须根,又叫吸收根，粗度1-2毫米，长约30厘米，寿命较短，有自疏现象，不断进行周期性更新。,吸收水分和养分。,加强土壤管理，深翻改良土壤，增肥施水。,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20005,主芽,生于枣头、枣股的顶端，以及一次枝（即枝头）和二次 枝的叶腋间,"春季萌发后形成新的枣 头，在幼龄树上连续数年单轴延伸，可用于扩大树冠、形成骨干枝, 也可培养成结果枝组。",,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20006,副芽,副芽位于枣头与二次枝叶腋间主芽的侧上方。,副芽具有早熟性，可形成永久性的二次枝、脱落性的二次枝（包括枣吊）,,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20007,隐芽,"有的主芽由于缺少激素的刺激，生长处于抑制状态暂不萌发, 这类主芽称为隐芽。发育枝和枣股上的主芽，大多潜伏成隐芽。隐芽的寿命因品种和着生位置不同有很大差别。一般在主枝基部隐芽寿命较长，越靠近枝条顶端的隐芽寿命越短。",,,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20008,不定芽,不定芽的萌发没有一定的时间和部位，多出现在主干、骨干枝基部或机械伤口处，多由射线薄壁细胞发育而来。,在更新中起着重要作用。,,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20009,枣头,"健壮的枣头（一次枝）长势适中，二次枝多而长，弯曲度大, 节数多，节间较短，皮色深，具光泽。一般四月下旬至五月上旬为枣头萌发盛期，五月上旬或中旬开始迅速生长，延续到六月中旬或七月中旬；以后则生长缓慢，以至停止，生长期约为60?90天。",是枣树的发育枝或营养枝，可扩大树冠，形成骨干枝和结果枝组，是构成树体骨架和结果基枝的主要枝条。,为了增加分枝数量，幼树定植后要短截定干，对中心干和主枝、侧枝也要及时逐年短截修剪，以增多枣头数目，培养骨干枝和结果枝组，同时还可加大骨干枝的尖削度，增强树体负载能力，为丰产稳产奠定良好的基础。,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20010,二次枝,由副芽形成，分两种类型：一种是由枣头基部副芽形成的二次枝，长势弱，柔软下垂，当年冬季脱落，称为“脱落性二次枝”。另一种是枣头中上部副芽 形成的呈“之”字形曲折延伸的永久性二次枝，这种枝木质化程度 高，当年停长后顶端不形成顶芽，下年不能延伸生长，加粗生长很缓慢，随年龄增加逐渐从先端向内枯死。永久性二次枝是着生枣股的基础和主要部位，故又称结果基枝。,,,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20011,枣股,枣股是一种短缩的结果母枝，由枣头一次枝和二次枝上的主芽逐年发育而形成。,有利于养分积累，有利枣吊开花结果，且结果 部位比较稳定，是其早果丰产性强的重要特征之一。,枣股寿命的长短、健壮与否、结实力的强弱，除了和营养状况有关外，还和光照有一定关系调査发现，光照充足处的枣股生长健壮、结实力强、寿命较长，所以必须进行科学修剪，以调节枣树与光照之间的关系。,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20012,木质化枣吊,是枣树在矮化密植、强化管理如“三摘心”等措施 下岀现的一种新型结果枝，一般长30?60厘米，个别可长达80? 100厘米，单枝坐果10个左右，最高可达30多个。它基部粗壮发红，叶片浓绿特大，具有很强的开花结果能力，冬季不脱落，个别木质化枣吊翌年还能生长，但开花结实力很低，生产上多在冬春修剪时剪除。,,根据枣吊在营养充足的条件下易转化为木质化枣吊这一特性， 运用各种综合管理控冠措施，促使枣吊尽量向木质化枣吊方向转化； 成为现代枣树矮化密植栽培的关键技术。,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20013,花芽分化,当年分化，当年开花结果，分化速度快；多次分化，多次结果，随生长随分化；单花分化期短，全树分化持续期长。,,,枣树种植基础知识
https://cie.nwafu.edu.cn/2021-AAATKG/jujube/resource/R20014,开花授粉,枣花的开放，是从树冠外围先开，逐渐向内开花。枣吊是以近基部逐节向上开放，一花序内一般中心花先开，再一级花、二级花、 多级花的顺序开放。,,"枣树开花授粉对温湿度有一定要求。当日均温达23°C?25°C进入盛花期，随着温度的升高，每天开花的时间提前。如果温度过高，则缩短开花期，仍可结果；如果温度过低，则影响开花进程，甚至坐果不良。 枣树花粉萌发以24°C?26°C为宜，如果花期空气过于干燥，温度太低, 常使柱头枯干，丧失授粉受精能力，往往出现“焦花”现象，造成落花落果。在晴朗的天气，于开花盛期喷清水，调节树冠内部的空气湿度，或者放蜂、喷尿素增加营养，都有利于授粉受精的正常进行，能有效地提高坐果率",枣树种植基础知识
